matchid,hometeamname,awayteamname,event,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid,time,matcheventattribute
2024486,Belgium,Italy,Foul,89,2,0,66,13,250058759,250008901,2021-07-02T20:47:31.95,
2024486,Belgium,Italy,YellowCard,90,2,0,66,,250058759,,2021-07-02T20:48:47.253,
2024486,Belgium,Italy,Substitution,90,2,1,66,66,250090398,250112488,2021-07-02T20:49:38.01,
2024486,Belgium,Italy,FreeKick,90,2,1,13,,250008901,,2021-07-02T20:49:57.333,
2024486,Belgium,Italy,Foul,90,2,1,13,66,103335,250078922,2021-07-02T20:50:00.11,
2024486,Belgium,Italy,FreeKick,90,2,3,66,,250078922,,2021-07-02T20:51:47.613,
2024486,Belgium,Italy,Foul,90,2,3,13,66,103704,250066739,2021-07-02T20:52:01.11,
2024486,Belgium,Italy,FreeKick,90,2,4,66,,250017925,,2021-07-02T20:52:42.03,
2024486,Belgium,Italy,Foul,90,2,4,66,13,250064229,250113142,2021-07-02T20:52:47.23,
2024486,Belgium,Italy,FreeKick,90,2,4,13,,103704,,2021-07-02T20:52:55.573,
2024486,Belgium,Italy,Foul,90,2,5,66,13,250050378,103704,2021-07-02T20:53:45.51,
2024486,Belgium,Italy,FreeKick,90,2,5,13,,250011668,,2021-07-02T20:53:55.613,
2024486,Belgium,Italy,Corner,90,2,7,13,,250019924,,2021-07-02T20:55:37.997,
2024486,Belgium,Italy,GoalAttemptOffTarget,90,2,7,13,,71982,,2021-07-02T20:55:39.277,
2024486,Belgium,Italy,EndSecondHalf,90,2,8,,,,,2021-07-02T20:56:09.447,
2024479,Belgium,Portugal,StartFirstHalf,0,1,0,,,,,2021-06-27T19:00:17.507,NA
2024479,Belgium,Portugal,GoalAttemptOffTarget,6,1,0,110,,250080471,,2021-06-27T19:05:21.987,NA
2024479,Belgium,Portugal,GoalAttemptOffTarget,10,1,0,13,,1902160,,2021-06-27T19:09:50.947,NA
2024479,Belgium,Portugal,Offside,15,1,0,110,,250080471,,2021-06-27T19:14:51.227,NA
2024479,Belgium,Portugal,FreeKick,15,1,0,13,,103333,,2021-06-27T19:15:13.107,NA
2024479,Belgium,Portugal,Foul,18,1,0,110,,250067295,,2021-06-27T19:18:10.027,NA
2024479,Belgium,Portugal,FreeKick,19,1,0,13,,103335,,2021-06-27T19:18:21.027,NA
2024479,Belgium,Portugal,GoalAttemptBlocked,19,1,0,13,,250012551,,2021-06-27T19:18:40.667,NA
2024479,Belgium,Portugal,GoalAttemptSaved,19,1,0,110,,250081628,,2021-06-27T19:18:41.667,NA
2024479,Belgium,Portugal,Foul,19,1,0,13,110,250012551,250067295,2021-06-27T19:18:45.147,NA
2024479,Belgium,Portugal,FreeKick,19,1,0,110,,95417,,2021-06-27T19:19:07.147,NA
2024479,Belgium,Portugal,Offside,20,1,0,110,,63706,,2021-06-27T19:20:01.507,NA
2024479,Belgium,Portugal,FreeKick,20,1,0,13,,250011668,,2021-06-27T19:20:17.107,NA
2024479,Belgium,Portugal,Foul,21,1,0,13,110,250008901,250058218,2021-06-27T19:21:12.547,NA
