matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,60,Attempts on target outside penalty area,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,61,Attempts off target in penalty area,1,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,62,Attempts off target outside penalty area,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,63,Attempts in open play from centre,4,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,64,Attempts in open play from left,1,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,65,Attempts in open play from right,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,67,Free kicks on goal,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,68,Instance of possession,198,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,69,Ball not in play,01:14:33.8880000,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,70,Crosses attempted,4,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,71,Crosses short,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,72,Crosses medium,2,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,73,Crosses long,2,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,74,Crosses completed,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,75,Crosses completed short,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,76,Crosses completed medium,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,77,Crosses completed long,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,78,Corners short,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,79,Corners medium,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,80,Corners long,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,81,Corners completed,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,82,Corners completed short,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,83,Corners completed medium,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,84,Corners completed long,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,85,Dribbling,8,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,86,Passes attempted,353,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,87,Passes attempted short,117,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,88,Passes attempted medium,174,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,89,Passes attempted long,62,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,90,Passes completed short,78,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,91,Passes completed medium,144,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,92,Passes completed long,32,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,93,Passes received,255,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,94,Passes received short,78,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,95,Passes received medium,144,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,96,Passes received long,32,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,97,Passes accuracy short,0.667,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,98,Passes accuracy medium,0.828,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,99,Passes accuracy long,0.516,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,102,Passes completed forward,76,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,103,Passes completed backward,44,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,104,Passes completed left,65,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,105,Passes completed right,69,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,106,Passes per instance of possession,1.783,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,107,Delivery into attacking third,23,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,108,Delivery into key play area,9,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,109,Delivery into penalty area,2,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,110,Delivery into goal area,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,115,Solo run into attacking third,7,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,116,Solo run into key play area,3,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,117,Solo run into penalty area,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,118,Total Attacks,21,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,119,Attacks from centre,3,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,120,Attacks from right,4,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,121,Attacks from left,14,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,122,Organized attack,9,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,123,Counter attack,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,124,Clearances successful,13,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,125,Clearances unsuccesful,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,126,Tackles,10,2
