Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
2016-06-20,Russia,Wales,0.0,3.0,0,78,5,1,24,36
2016-06-19,France,Switzerland,0.0,0.0,1,81,5,0,10,33
2016-06-19,Romania,Albania,0.0,1.0,0,51,5,1,23,0
2016-06-18,Portugal,Austria,0.0,0.0,1,51,5,1,21,1
2016-06-18,Iceland,Hungary,1.0,1.0,1,55,5,1,14,14
2016-06-18,Belgium,Republic of Ireland,3.0,0.0,2,11,5,1,2,24
2016-06-17,Czech Republic,Croatia,2.0,2.0,1,71,5,1,5,4
2016-06-17,Spain,Turkey,3.0,0.0,2,61,5,1,29,34
2016-06-17,Italy,Sweden,1.0,0.0,2,78,5,1,15,32
2016-06-16,Ukraine,Northern Ireland,0.0,2.0,0,51,5,1,33,20
2016-06-16,Germany,Poland,0.0,0.0,1,70,5,1,11,22
2016-06-16,England,Wales,2.0,1.0,2,45,5,1,8,36
2016-06-15,Russia,Slovakia,1.0,2.0,0,81,5,1,24,29
2016-06-15,France,Albania,2.0,0.0,2,55,5,0,10,0
2016-06-15,Romania,Switzerland,1.0,1.0,1,64,5,1,23,33
2016-06-14,Austria,Hungary,0.0,2.0,0,11,5,1,1,14
2016-06-14,Portugal,Iceland,1.0,1.0,1,71,5,1,21,15
2016-06-13,Belgium,Italy,0.0,2.0,0,51,5,1,2,16
2016-06-13,Republic of Ireland,Sweden,1.0,1.0,1,70,5,1,22,32
2016-06-13,Spain,Czech Republic,1.0,0.0,2,78,5,1,29,5
2016-06-12,Germany,Ukraine,2.0,0.0,2,81,5,1,11,35
2016-06-12,Turkey,Croatia,0.0,1.0,0,64,5,1,32,4
2016-06-12,Poland,Northern Ireland,1.0,0.0,2,61,5,1,20,20
2016-06-11,Wales,Slovakia,2.0,1.0,2,11,5,1,34,29
2016-06-11,England,Russia,1.0,1.0,1,55,5,1,8,26
2016-06-11,Albania,Switzerland,0.0,1.0,0,45,5,1,0,33
2016-06-10,France,Romania,2.0,1.0,2,70,5,0,10,25
2012-07-01,Spain,Italy,4.0,0.0,2,41,18,1,29,16
2012-06-28,Germany,Italy,1.0,2.0,0,82,10,1,11,16
2012-06-27,Portugal,Spain,0.0,0.0,1,22,18,1,21,31
2012-06-24,England,Italy,0.0,0.0,1,41,18,1,8,16
2012-06-23,Spain,France,2.0,0.0,2,22,18,1,29,10
2012-06-22,Germany,Greece,4.0,2.0,2,30,10,1,11,13
2012-06-21,Czech Republic,Portugal,0.0,1.0,0,82,10,1,5,23
2012-06-19,Ukraine,England,0.0,1.0,0,22,18,0,33,8
2012-06-19,Sweden,France,2.0,0.0,2,41,18,1,30,10
2012-06-18,Italy,Republic of Ireland,2.0,0.0,2,66,10,1,15,24
2012-06-18,Croatia,Spain,0.0,1.0,0,30,10,1,4,31
2012-06-17,Portugal,Netherlands,2.0,1.0,2,39,18,1,21,18
2012-06-17,Denmark,Germany,1.0,2.0,0,50,18,1,7,12
2012-06-16,Poland,Czech Republic,0.0,1.0,0,83,10,0,20,5
