match_id,team,formation,opposing_team_formation,shot,pass,under_pressure,score,counterpress,formation_play_duration,formation_play_duration_ratio,shot_mean,pass_mean,under_pressure_mean,counterpress_mean,home_or_away,goals
3817872,Bengaluru,433,4231,11,422,269,2,60,0 days 01:28:52.268000,1.1022420478490578,12.124662526339636,465.14614419230236,296.50311087139653,66.13452287094347,1,3
3817872,Odisha,4231,433,14,392,411,1,41,0 days 01:28:22.816000,1.1083639334270696,15.517095067978975,434.4786619034113,455.5375766385256,45.442921270509856,0,3
3817873,ATK Mohun Bagan,352,433,16,502,280,3,44,0 days 01:36:28.462000,1.0,16.0,502.0,280.0,44.0,1,4
3817873,NorthEast United,433,352,24,392,213,1,47,0 days 01:36:28.462000,1.0,24.0,392.0,213.0,47.0,0,4
3817874,Bengaluru,433,3412,12,298,304,1,65,0 days 01:38:04.449000,1.0,12.0,298.0,304.0,65.0,1,2
3817874,Goa,3412,433,11,399,305,1,70,0 days 01:26:43.487000,1.1308664747312716,12.439531222043987,451.2157234177773,344.9142747930378,79.160653231189,0,2
3817875,Goa,4231,442,12,557,328,0,66,0 days 01:40:34.052000,1.0,12.0,557.0,328.0,66.0,0,1
3817875,Jamshedpur,442,4231,5,247,243,1,52,0 days 01:40:34.052000,1.0,5.0,247.0,243.0,52.0,1,1
3817876,Chennaiyin,352,433,11,453,240,2,57,0 days 01:41:29.145000,1.0,11.0,453.0,240.0,57.0,1,3
3817876,NorthEast United,433,352,28,432,300,1,47,0 days 01:07:11.685000,1.510322607048914,42.28903299736959,652.4593662451308,453.09678211467417,70.98516253129895,0,3
3817877,Bengaluru,4231,433,15,550,386,1,53,0 days 01:41:26.327000,1.0,15.0,550.0,386.0,53.0,0,3
3817877,NorthEast United,433,4231,14,303,292,2,45,0 days 01:38:24.394000,1.0308131537292395,14.431384152209354,312.3363855799596,300.99744088893794,46.38659191781578,1,3
3817878,East Bengal,442,4231,12,447,310,0,69,0 days 00:51:23.694000,1.9085304832450949,22.90236579894114,853.1131260105574,591.6444498059794,131.68860334391155,1,4
3817878,Hyderabad,4231,442,21,412,295,4,56,0 days 01:38:05.324000,1.0,21.0,412.0,295.0,56.0,0,4
3817879,Chennaiyin,352,4231,11,355,304,1,51,0 days 01:41:06.299000,1.0,11.0,355.0,304.0,51.0,1,2
3817879,Hyderabad,4231,352,25,448,303,1,44,0 days 01:41:06.299000,1.0,25.0,448.0,303.0,44.0,0,2
3817880,Chennaiyin,433,4231,14,501,246,2,35,0 days 01:36:27.734000,1.0,14.0,501.0,246.0,35.0,0,4
3817880,Odisha,4231,433,19,359,252,2,39,0 days 01:36:27.734000,1.0,19.0,359.0,252.0,39.0,1,4
3817881,Jamshedpur,4411,442,12,355,290,3,42,0 days 01:38:27.442000,1.0,12.0,355.0,290.0,42.0,1,3
3817881,Kerala Blasters,442,4411,10,339,267,0,49,0 days 01:38:27.442000,1.0,10.0,339.0,267.0,49.0,0,3
3817882,Chennaiyin,352,343,2,293,209,0,26,0 days 01:36:28.026000,1.0,2.0,293.0,209.0,26.0,0,3
