matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank,Location
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,65,Attempts in open play from right,2.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,67,Free kicks on goal,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,68,Instance of possession,198.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,70,Crosses attempted,4.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,71,Crosses short,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,72,Crosses medium,2.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,73,Crosses long,2.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,74,Crosses completed,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,75,Crosses completed short,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,76,Crosses completed medium,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,77,Crosses completed long,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,78,Corners short,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,79,Corners medium,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,80,Corners long,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,81,Corners completed,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,82,Corners completed short,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,83,Corners completed medium,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,84,Corners completed long,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,85,Dribbling,8.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,86,Passes attempted,353.0,2,Away
